Gene Name,RMSE
AT1G01010,0.00026777224
AT1G01020,0.00041677887
AT1G01030,0.00054414873
AT1G01040,3.893122e-05
AT1G01046,0.00025250873
AT1G01050,0.0022715358
AT1G01060,0.0006185277
AT1G01070,0.0013395163
AT1G01080,0.00049030146
AT1G01090,0.002652081
AT1G01100,0.00011882689
AT1G01110,0.00027725607
AT1G01120,0.00043685536
AT1G01130,0.0001938695
AT1G01140,0.00036329043
AT1G01150,0.000259275
AT1G01160,0.0001576402
AT1G01170,0.0007452044
AT1G01180,0.0001874289
AT1G01190,0.0003084547
AT1G01200,0.0019024555
AT1G01210,0.00069713965
AT1G01220,0.0018047935
AT1G01225,0.0014167104
AT1G01230,7.687212e-05
AT1G01240,0.00044815132
AT1G01250,0.000391646
AT1G01260,0.0012579203
AT1G01280,0.00071512366
AT1G01290,0.0010289312
AT1G01300,5.5899975e-05
AT1G01310,0.00031211218
AT1G01320,0.0009155097
AT1G01340,0.0012520596
AT1G01350,0.00078096904
AT1G01355,0.0006539575
AT1G01360,0.0023296913
AT1G01370,0.0025130678
AT1G01380,0.0034075375
AT1G01390,0.0028231868
AT1G01410,0.0074381586
AT1G01420,0.011747899
AT1G01430,0.01076284
AT1G01440,0.005672968
AT1G01448,9.58571e-05
AT1G01450,0.0006334538
AT1G01453,0.00040126606
AT1G01460,0.00023014916
AT1G01470,0.000854824
AT1G01480,0.0002722171
AT1G01490,0.00066242676
AT1G01500,0.0010181144
AT1G01510,0.00015690684
AT1G01520,0.000490109
AT1G01530,0.0003382654
AT1G01540,0.0012747935
AT1G01550,0.001823728
AT1G01560,0.0009894726
AT1G01570,0.00042804552
AT1G01580,0.0013472927
AT1G01590,0.00031616876
AT1G01600,0.0026219157
AT1G01610,0.0013922466
AT1G01620,0.000839167
AT1G01630,0.0010982793
AT1G01640,1.629733e-05
AT1G01650,0.00032284344
AT1G01660,7.387204e-05
AT1G01670,0.0030025886
AT1G01680,0.0032045492
AT1G01690,0.0026975109
AT1G01695,0.0031747748
AT1G01700,0.00012523183
AT1G01710,0.0015731443
AT1G01720,0.0013400927
AT1G01725,0.0018842907
AT1G01730,0.00034628267
AT1G01740,0.0022001027
AT1G01750,0.00044517836
AT1G01760,9.931071e-06
AT1G01770,0.0011799047
AT1G01780,0.0039466694
AT1G01790,0.0002144716
AT1G01800,0.000557444
AT1G01810,0.00036090077
AT1G01820,0.000668903
AT1G01830,0.00036714046
AT1G01840,0.00024425396
AT1G01860,0.00019033195
AT1G01880,1.6845894e-05
AT1G01900,0.0010812943
AT1G01910,8.020541e-05
AT1G01920,0.0001378726
AT1G01930,0.00023814176
AT1G01940,0.0011776921
AT1G01950,0.00059708714
AT1G01960,7.593719e-05
AT1G01970,5.8102596e-05
AT1G01980,0.00014785118
AT1G01990,0.0008822542
AT1G02000,0.0007320772
AT1G02010,0.0004287559
AT1G02020,7.357792e-05
AT1G02030,0.00052050414
AT1G02040,0.0012332618
AT1G02050,0.0016574879
AT1G02060,0.000365765
AT1G02065,0.002617493
AT1G02070,0.0005117555
AT1G02080,0.00036852498
AT1G02090,0.00036550546
AT1G02100,0.0010737133
AT1G02110,0.0026124425
AT1G02120,0.0007665043
AT1G02130,7.377795e-05
AT1G02140,0.00016723071
AT1G02145,0.00058718026
AT1G02150,0.0006250839
AT1G02160,0.0008944545
AT1G02170,0.00060510077
AT1G02180,0.00021580071
AT1G02190,0.00017272285
AT1G02205,0.00029978532
AT1G02220,0.00020015301
AT1G02230,0.0006914352
AT1G02250,0.0006162463
AT1G02260,0.002027396
AT1G02270,7.992534e-05
AT1G02280,0.00012567989
AT1G02290,0.0024823004
AT1G02300,0.0025250253
AT1G02305,0.0013243107
AT1G02310,3.8357335e-05
AT1G02330,0.00061088457
AT1G02335,0.00018314912
AT1G02340,0.0010951312
AT1G02350,0.00012305958
AT1G02360,4.2880696e-05
AT1G02370,0.0006616131
AT1G02380,0.00018689103
AT1G02390,0.0005053581
AT1G02400,0.00054025475
AT1G02405,0.00026891934
AT1G02410,0.0010306794
AT1G02420,0.00027420025
AT1G02430,0.00083594356
AT1G02440,0.0003999917
AT1G02450,0.00031257045
AT1G02460,0.000798156
AT1G02470,0.00010796176
AT1G02475,0.0001060417
AT1G02500,0.00038069693
AT1G02510,0.00015084843
AT1G02520,0.0025620172
AT1G02530,0.0019840512
AT1G02560,0.0019890796
AT1G02570,0.00034599117
AT1G02575,2.0932282e-05
AT1G02580,0.0012462211
AT1G02610,0.00026287287
AT1G02620,0.00027846286
AT1G02630,0.00040021542
AT1G02640,0.0006006572
AT1G02650,0.0002759041
AT1G02660,0.0011207976
AT1G02670,0.00037174395
AT1G02680,0.00014546567
AT1G02681,9.2989736e-05
AT1G02690,8.2011975e-06
AT1G02700,0.00016452224
AT1G02710,0.00021448667
AT1G02720,0.00040672443
AT1G02730,0.000853279
AT1G02740,1.3490542e-05
AT1G02750,0.0008007861
AT1G02770,7.740747e-05
AT1G02780,0.001198946
AT1G02800,0.0026557976
AT1G02810,0.00030213146
AT1G02813,9.523232e-05
AT1G02816,0.00054128194
AT1G02820,0.00023961684
AT1G02830,0.001242543
AT1G02840,0.0006731043
AT1G02850,0.0017392414
AT1G02860,0.0008157025
AT1G02870,0.0012826214
AT1G02880,0.0014020897
AT1G02890,0.0010907234
AT1G02900,0.00027263557
AT1G02910,0.00057574053
AT1G02920,0.0014504062
AT1G02930,0.005110445
AT1G02940,0.003926306
AT1G02950,0.01103642
AT1G02952,0.0077199047
AT1G02960,0.0007211687
AT1G02970,0.0003850536
AT1G02980,0.0008366656
AT1G02990,0.00027677804
AT1G03000,0.0012172515
AT1G03010,0.0010815046
AT1G03020,0.0014063298
