Gene Name,RMSE
AT1G01010,0.0016906586
AT1G01020,0.0003754552
AT1G01030,0.00025472254
AT1G01040,0.0010975106
AT1G01046,0.0003608251
AT1G01050,0.00018459535
AT1G01060,0.00025355577
AT1G01070,0.00066268654
AT1G01080,0.0008196089
AT1G01090,8.341444e-05
AT1G01100,0.00010656127
AT1G01110,3.1685697e-05
AT1G01120,9.669844e-05
AT1G01130,7.082189e-05
AT1G01140,0.0012055391
AT1G01150,3.5202538e-07
AT1G01160,0.00032051365
AT1G01170,0.00012126574
AT1G01180,0.0017945722
AT1G01190,0.00045708852
AT1G01200,0.0017701472
AT1G01210,0.0019032353
AT1G01220,0.0015643085
AT1G01225,0.0014230151
AT1G01230,0.00026469378
AT1G01240,0.00030736328
AT1G01250,0.0004034824
AT1G01260,0.000115423085
AT1G01280,0.0001976193
AT1G01290,0.00022510746
AT1G01300,0.0001917427
AT1G01310,0.00024327409
AT1G01320,0.0014522717
AT1G01340,0.0015889454
AT1G01350,0.0010764762
AT1G01355,0.0009366835
AT1G01360,0.00258453
AT1G01370,0.0033687786
AT1G01380,0.0038764286
AT1G01390,0.0031116658
AT1G01410,0.007638989
AT1G01420,0.010979726
AT1G01430,0.010561265
AT1G01440,0.005198357
AT1G01448,0.0002469427
AT1G01450,0.00015858363
AT1G01453,0.0010353925
AT1G01460,0.0012705105
AT1G01470,0.0007469186
AT1G01480,0.0018167511
AT1G01490,0.0006108243
AT1G01500,0.00059656694
AT1G01510,0.00027375077
AT1G01520,0.0010544977
AT1G01530,0.00077968993
AT1G01540,0.0002452401
AT1G01550,0.0014149849
AT1G01560,0.00116812
AT1G01570,0.0011573832
AT1G01580,0.0011918697
AT1G01590,0.0026332012
AT1G01600,0.000176429
AT1G01610,0.00047730908
AT1G01620,0.00039244577
AT1G01630,0.00020773757
AT1G01640,0.0006237713
AT1G01650,0.0009583772
AT1G01660,0.0004380073
AT1G01670,0.0026406606
AT1G01680,0.0027075352
AT1G01690,0.002916439
AT1G01695,0.003349388
AT1G01700,6.697027e-05
AT1G01710,1.3218232e-05
AT1G01720,0.00017882374
AT1G01725,6.283351e-05
AT1G01730,0.00022556852
AT1G01740,0.00074369414
AT1G01750,0.00019517205
AT1G01760,0.0009480966
AT1G01770,0.00085790775
AT1G01780,0.00028305274
AT1G01790,0.0006180733
AT1G01800,0.00011606705
AT1G01810,0.00015349564
AT1G01820,0.002033472
AT1G01830,7.037172e-05
AT1G01840,0.0002828926
AT1G01860,7.999537e-05
AT1G01880,0.00036404532
AT1G01900,3.8923637e-05
AT1G01910,0.00029167856
AT1G01920,8.909355e-05
AT1G01930,0.00083486014
AT1G01940,0.00048357714
AT1G01950,0.00049159664
AT1G01960,0.0007750149
AT1G01970,0.0003568923
AT1G01980,0.0007001341
AT1G01990,0.0011603093
AT1G02000,6.685984e-05
AT1G02010,5.72278e-05
AT1G02020,0.00045460806
AT1G02030,0.00056847394
AT1G02040,0.0015236912
AT1G02050,7.595503e-05
AT1G02060,0.00046397356
AT1G02065,0.000105704545
AT1G02070,0.0001318086
AT1G02080,7.020756e-05
AT1G02090,0.00044124672
AT1G02100,0.00016857818
AT1G02110,0.00037432084
AT1G02120,0.0006599939
AT1G02130,0.0016008897
AT1G02140,0.00042412925
AT1G02145,0.00012465268
AT1G02150,0.00011340597
AT1G02160,0.00010231798
AT1G02170,0.00018988297
AT1G02180,7.797871e-05
AT1G02190,4.0094776e-05
AT1G02205,0.00018078025
AT1G02220,0.0006452196
AT1G02230,0.00022878485
AT1G02250,0.00021028382
AT1G02260,0.0014429407
AT1G02270,0.00038268947
AT1G02280,0.0011245525
AT1G02290,0.0023406046
AT1G02300,0.002505718
AT1G02305,0.0007899008
AT1G02310,6.092253e-05
AT1G02330,0.00028625625
AT1G02335,0.00015462129
AT1G02340,0.00010751865
AT1G02350,0.0005695048
AT1G02360,0.00012781192
