Gene Name,RMSE
AT1G01010,0.0010177889
AT1G01020,0.0009051453
AT1G01030,0.00023411022
AT1G01040,0.0010343769
AT1G01046,0.00015362703
AT1G01050,0.0002046148
AT1G01060,0.00035506967
AT1G01070,3.8339203e-05
AT1G01080,0.00023236663
AT1G01090,0.0017892437
AT1G01100,0.00016375662
AT1G01110,0.0002220404
AT1G01120,0.00041818246
AT1G01130,0.00024239051
AT1G01140,0.00054111314
AT1G01150,2.7595626e-05
AT1G01160,0.00027827627
AT1G01170,0.000991569
AT1G01180,0.000104965926
AT1G01190,0.00021485263
AT1G01200,0.0012359947
AT1G01210,0.0012001758
AT1G01220,0.0017893225
AT1G01225,0.0009426677
AT1G01230,0.00106437
AT1G01240,0.00089155714
AT1G01250,0.00072233967
AT1G01260,0.0007173921
AT1G01280,0.0021736368
AT1G01290,0.0007873814
AT1G01300,0.0006055445
AT1G01310,0.00017905419
AT1G01320,0.0006636376
AT1G01340,0.00083426933
AT1G01350,0.0017348136
AT1G01355,0.00044852908
AT1G01360,0.0028472976
AT1G01370,0.0030979535
AT1G01380,0.0023668166
AT1G01390,0.001990891
AT1G01410,0.006646812
AT1G01420,0.00894308
AT1G01430,0.008377665
AT1G01440,0.004891075
AT1G01448,0.0014321698
AT1G01450,0.00022381882
AT1G01453,0.00049806474
AT1G01460,0.0007160798
AT1G01470,0.00052353024
AT1G01480,0.00084451155
AT1G01490,0.0008560715
AT1G01500,0.0005226484
AT1G01510,0.0012465465
AT1G01520,0.00078323274
AT1G01530,0.00039149274
AT1G01540,0.00057491864
AT1G01550,0.0014793961
AT1G01560,0.0009944324
AT1G01570,0.0012524395
AT1G01580,0.0023127354
AT1G01590,0.0007522816
AT1G01600,0.00056713325
AT1G01610,0.0002624138
AT1G01620,0.0002157531
AT1G01630,0.00074016297
AT1G01640,0.0016216212
AT1G01650,0.0011808906
AT1G01660,0.00033084015
AT1G01670,0.0028081897
AT1G01680,0.003085209
AT1G01690,0.0026879124
AT1G01695,0.0019611914
AT1G01700,0.0019449353
AT1G01710,0.0002642414
AT1G01720,0.0013851033
AT1G01725,0.00019598842
AT1G01730,0.0012675106
AT1G01740,0.0011657338
AT1G01750,0.00029143423
AT1G01760,0.0002482434
AT1G01770,0.000458908
AT1G01780,4.2308344e-05
AT1G01790,0.00023295441
AT1G01800,0.00044265875
AT1G01810,0.00053166854
AT1G01820,0.0005621016
AT1G01830,0.0014524533
AT1G01840,0.00039420178
AT1G01860,2.321355e-05
AT1G01880,0.00020467264
AT1G01900,3.7673875e-05
AT1G01910,0.0006413268
AT1G01920,0.0012435841
AT1G01930,0.0010394772
AT1G01940,0.00034340553
AT1G01950,0.0014798569
AT1G01960,6.740895e-05
AT1G01970,0.00028434023
AT1G01980,0.00029542123
AT1G01990,0.0028778282
AT1G02000,0.00075445976
AT1G02010,0.0001430438
AT1G02020,0.0006031919
AT1G02030,0.0010800073
AT1G02040,0.00093106047
AT1G02050,0.00067497836
AT1G02060,0.00013863793
AT1G02065,0.0005839956
AT1G02070,9.035718e-05
AT1G02080,0.00020723595
AT1G02090,0.00014375494
AT1G02100,0.00028321758
AT1G02110,0.00047910414
AT1G02120,0.0020007354
AT1G02130,0.00064898154
AT1G02140,0.0007535017
AT1G02145,0.00027331355
AT1G02150,1.1206896e-05
AT1G02160,0.0002871791
AT1G02170,0.001594987
AT1G02180,0.0005385052
AT1G02190,0.0004925176
AT1G02205,9.64448e-05
AT1G02220,0.00017985623
AT1G02230,0.0013370732
AT1G02250,0.0022999546
AT1G02260,0.00016124349
AT1G02270,0.0006620995
AT1G02280,0.00013963715
AT1G02290,2.7960166e-05
AT1G02300,0.0017172614
AT1G02305,0.0017695832
AT1G02310,0.00044605607
AT1G02330,0.0002684333
AT1G02335,0.000102096354
AT1G02340,0.000121006866
AT1G02350,8.6541055e-05
AT1G02360,0.000542515
AT1G02370,0.0005109299
AT1G02380,0.0001245917
AT1G02390,0.0003613581
AT1G02400,0.00020924244
AT1G02405,0.00027965067
AT1G02410,0.00041028528
AT1G02420,0.00023351796
AT1G02430,0.0004806663
AT1G02440,0.00027691352
AT1G02450,0.0005053248
AT1G02460,0.00045805756
AT1G02470,0.00046410138
AT1G02475,0.0007852243
AT1G02500,0.0003278698
AT1G02510,0.0012092727
AT1G02520,0.00016960308
AT1G02530,0.00072362396
AT1G02560,0.0012343862
AT1G02570,0.00021381438
AT1G02575,7.622966e-05
AT1G02580,0.00031484198
AT1G02610,0.0018580651
AT1G02620,0.00012265274
AT1G02630,0.0026046946
AT1G02640,0.00020295764
AT1G02650,0.0012963822
AT1G02660,0.0021311892
AT1G02670,0.00022884601
AT1G02680,0.0005135372
AT1G02681,0.00012276234
AT1G02690,0.00086489937
AT1G02700,0.00015499562
AT1G02710,6.3278334e-05
AT1G02720,0.00018790335
AT1G02730,0.00034936256
AT1G02740,9.215796e-05
AT1G02750,0.00066661916
AT1G02770,0.00017779137
AT1G02780,0.00035644032
AT1G02800,0.0004311911
AT1G02810,0.00023109466
AT1G02813,0.0019615942
AT1G02816,0.0007208077
AT1G02820,0.0007446038
AT1G02830,0.0006982024
AT1G02840,0.00044651708
AT1G02850,0.0008203763
AT1G02860,0.00023354265
AT1G02870,0.00022869237
AT1G02880,0.0004965281
AT1G02890,0.0016823302
AT1G02900,0.00055855076
AT1G02910,0.00024675328
AT1G02920,0.0004243384
AT1G02930,0.00606294
AT1G02940,0.003831395
AT1G02950,0.005218883
AT1G02952,0.028675292
AT1G02960,0.00051640725
AT1G02970,0.0003625149
AT1G02980,0.00030872208
AT1G02990,0.0001929467
AT1G03000,0.00081129646
AT1G03010,0.0010678192
AT1G03020,2.9333052e-05
AT1G03030,0.001987659
AT1G03040,0.000573723
AT1G03050,0.0005047414
AT1G03055,0.00050098234
AT1G03060,0.00085139205
AT1G03070,4.6962727e-05
AT1G03080,0.00041934912
AT1G03090,2.8312264e-05
AT1G03100,0.00022260554
AT1G03103,0.0012812383
AT1G03106,0.0005568822
AT1G03110,0.00020116131
AT1G03120,0.0009565556
AT1G03130,0.00021453958
AT1G03140,0.0011598109
AT1G03150,0.00055736926
AT1G03160,0.0012634639
AT1G03170,0.00030416623
AT1G03180,0.00030469708
AT1G03190,0.0007217786
AT1G03200,0.00032636977
AT1G03210,0.0037708585
AT1G03220,0.0009464226
AT1G03230,0.002796702
AT1G03240,0.0047028433
AT1G03250,0.0022357746
AT1G03260,0.00043848253
AT1G03270,0.00013546122
AT1G03280,5.2798176e-05
AT1G03290,0.00032412447
AT1G03300,0.0003727858
AT1G03310,0.00024868854
AT1G03320,0.0001534012
AT1G03330,0.00019734196
AT1G03340,9.1676455e-05
AT1G03350,0.00041582776
AT1G03360,0.00019551955
AT1G03365,0.00081945077
AT1G03370,0.001404149
AT1G03380,0.00028667113
AT1G03390,0.00040115564
AT1G03400,0.0011727088
AT1G03410,0.009752916
AT1G03420,0.0023001519
AT1G03430,0.00081727724
AT1G03440,0.00025957148
AT1G03445,0.00038228306
AT1G03457,0.0010579457
AT1G03470,0.0012627428
AT1G03475,0.0015806558
AT1G03495,0.001997854
AT1G03510,0.00070479675
AT1G03520,0.0023495087
AT1G03530,0.0006728519
AT1G03540,0.00040632105
AT1G03545,0.0008706902
AT1G03550,0.00012690318
AT1G03560,0.00040111734
AT1G03580,0.00024975356
AT1G03590,0.0006758347
AT1G03600,0.00018379143
AT1G03610,0.00012600474
AT1G03620,0.000115061936
AT1G03630,0.0012906869
AT1G03650,0.0012911919
AT1G03660,0.00039814462
AT1G03670,0.00025025723
AT1G03680,0.00031063677
AT1G03687,0.0016354666
AT1G03700,0.00033197112
AT1G03710,0.00027707143
AT1G03730,0.00054128375
AT1G03740,0.00066960824
AT1G03746,0.0004698957
AT1G03750,0.0010042669
AT1G03760,7.8549885e-05
AT1G03770,0.0008195053
AT1G03780,0.0006883769
AT1G03790,0.0010133833
AT1G03800,0.00043559048
AT1G03820,0.0062094065
AT1G03830,0.0004157966
AT1G03840,0.0014051768
AT1G03850,0.0005299308
AT1G03860,0.0013425436
AT1G03870,0.0012111535
AT1G03900,0.00032930114
AT1G03905,0.0002090173
AT1G03910,0.0003397113
AT1G03920,0.00024783218
AT1G03930,0.00044766208
AT1G03935,6.583342e-05
AT1G03940,0.00027834508
AT1G03950,0.00091544015
AT1G03960,0.00013271905
AT1G03970,0.00064364536
AT1G03980,0.0048848446
AT1G03990,0.00021061383
AT1G04000,0.0014159795
AT1G04010,0.00042794275
AT1G04020,0.0008252758
AT1G04030,0.00062655425
AT1G04040,0.00059874204
AT1G04050,7.7228004e-05
AT1G04070,0.0004434339
AT1G04080,0.0005315132
AT1G04090,0.00018070635
AT1G04100,0.0008142247
AT1G04110,0.0008470986
AT1G04120,0.00072707376
AT1G04130,0.00062821317
AT1G04140,0.0003918227
AT1G04160,0.0006822336
AT1G04170,0.00029188461
AT1G04180,0.0006034499
AT1G04190,0.0012020622
AT1G04200,0.0003806873
AT1G04210,0.0001296349
AT1G04220,0.0011892789
AT1G04230,0.00064082834
AT1G04240,0.00141315
AT1G04250,0.0004946858
AT1G04260,0.0006655259
AT1G04270,0.00021523636
AT1G04280,7.610666e-05
AT1G04290,0.0016443098
AT1G04295,0.0015332588
AT1G04300,0.0008615214
AT1G04310,0.0022381153
AT1G04330,0.0014461443
AT1G04340,0.0017323366
AT1G04350,0.0016218715
AT1G04360,0.0015827625
AT1G04370,0.00062835583
AT1G04380,0.0006882887
AT1G04390,0.00049091113
AT1G04400,0.00021280197
AT1G04410,0.00055174355
AT1G04420,0.0007599549
AT1G04425,0.0002285135
AT1G04430,0.0011733791
AT1G04440,0.00017714164
AT1G04445,3.7264967e-05
AT1G04450,0.0003247239
AT1G04457,0.00023363519
AT1G04470,0.0009347874
AT1G04480,0.000482646
AT1G04490,0.00050146866
AT1G04500,0.0010473728
AT1G04510,0.00074463536
AT1G04520,0.00042524392
AT1G04530,0.0010560916
AT1G04540,0.0014711474
AT1G04550,0.0010981848
AT1G04555,0.002899333
AT1G04560,0.0004878122
AT1G04570,0.0014342149
AT1G04580,0.00019821193
AT1G04590,0.0005210662
AT1G04600,0.00039302217
AT1G04610,0.0010593544
AT1G04620,0.00038689247
AT1G04625,0.00017762842
AT1G04630,0.00050453516
AT1G04635,0.00068228657
AT1G04640,0.00046580503
AT1G04645,3.1878066e-05
AT1G04650,8.619326e-05
AT1G04660,0.00022291415
AT1G04670,0.00022415424
