Gene Name,RMSE
AT1G01010,0.0014047105
AT1G01020,0.0025792227
AT1G01030,0.0003509585
AT1G01040,0.00080107554
AT1G01046,0.00025505014
AT1G01050,0.0004335046
AT1G01060,0.0008231958
AT1G01070,0.0007270897
AT1G01080,0.00079505536
AT1G01090,0.00030401128
AT1G01100,0.00033449594
AT1G01110,5.237211e-05
AT1G01120,0.00076778297
AT1G01130,0.00061803363
AT1G01140,0.0012144533
AT1G01150,0.00033485875
AT1G01160,0.0011642817
AT1G01170,0.0007997407
AT1G01180,0.0012174365
AT1G01190,0.00060959207
AT1G01200,0.0015384142
AT1G01210,0.00088180887
AT1G01220,0.001182747
AT1G01225,0.001157278
AT1G01230,6.2396546e-05
AT1G01240,0.0031906764
AT1G01250,3.6089477e-05
AT1G01260,0.00030853428
AT1G01280,0.000130543
AT1G01290,0.00019822209
AT1G01300,0.0005503871
AT1G01310,0.0010293307
AT1G01320,0.0011439758
AT1G01340,0.0013319983
AT1G01350,0.0013361238
AT1G01355,0.00051750144
AT1G01360,0.0030890184
AT1G01370,0.0015111263
AT1G01380,0.0028608025
AT1G01390,0.0011807767
AT1G01410,0.0060715205
AT1G01420,0.0069757113
AT1G01430,0.009358468
AT1G01440,0.0054642204
AT1G01448,0.00032258796
AT1G01450,0.0005423487
AT1G01453,0.0015546742
AT1G01460,0.0010236669
AT1G01470,0.0003285132
AT1G01480,0.0018608543
AT1G01490,0.0007270257
AT1G01500,0.0002695748
AT1G01510,0.00028980683
AT1G01520,0.0003414004
AT1G01530,0.0006136025
AT1G01540,0.0004947536
AT1G01550,0.0013150899
AT1G01560,0.00089844514
AT1G01570,0.0008093207
AT1G01580,0.0019601928
AT1G01590,0.00042193264
AT1G01600,0.0010168761
AT1G01610,0.00083156687
AT1G01620,0.0012249838
AT1G01630,0.0001818611
AT1G01640,0.00044090353
AT1G01650,0.00055335904
AT1G01660,0.00010997709
AT1G01670,0.0032817437
AT1G01680,0.0033447647
AT1G01690,0.0036887492
AT1G01695,0.0022688853
AT1G01700,0.0007730456
AT1G01710,0.0010830052
AT1G01720,0.0005385035
AT1G01725,0.00055746856
AT1G01730,0.0016498344
AT1G01740,0.00025199616
AT1G01750,0.0011016725
AT1G01760,0.00063000125
AT1G01770,0.0014131077
AT1G01780,0.0011954808
AT1G01790,0.00023520134
AT1G01800,0.00046736113
AT1G01810,0.00037283608
AT1G01820,0.0002478441
AT1G01830,0.00029598264
AT1G01840,0.0007006205
AT1G01860,0.0002952799
AT1G01880,4.6834713e-05
AT1G01900,2.3968489e-05
AT1G01910,0.00069653685
AT1G01920,0.00020886681
AT1G01930,0.00054334674
AT1G01940,0.0036525552
AT1G01950,0.00012487592
AT1G01960,0.0007132912
AT1G01970,0.00048054522
AT1G01980,0.00020293164
AT1G01990,0.00011222821
AT1G02000,0.0011388548
AT1G02010,0.00017734819
AT1G02020,0.00020082883
AT1G02030,0.0009537005
AT1G02040,0.0027292804
AT1G02050,0.0001964901
AT1G02060,0.0016941418
AT1G02065,0.00034039663
AT1G02070,0.00024337124
AT1G02080,0.0002507352
AT1G02090,0.0010318542
AT1G02100,0.0005756394
AT1G02110,0.00045517605
AT1G02120,0.00034686152
AT1G02130,0.0011172906
AT1G02140,0.0003789668
AT1G02145,0.00041431165
AT1G02150,0.00045256707
AT1G02160,0.00065539917
AT1G02170,0.0006438459
AT1G02180,0.0012305481
AT1G02190,0.00043259305
AT1G02205,0.0010065146
AT1G02220,0.00019312254
AT1G02230,0.0016604869
AT1G02250,0.0032251226
AT1G02260,0.00051912095
AT1G02270,0.0013012866
AT1G02280,0.0011830637
AT1G02290,0.0015762034
AT1G02300,0.0015051444
AT1G02305,0.0015905522
AT1G02310,1.8959428e-05
AT1G02330,0.00036410877
AT1G02335,0.0005439364
AT1G02340,0.0001712901
AT1G02350,0.00039057693
AT1G02360,0.0026301239
AT1G02370,0.0001571399
AT1G02380,8.768053e-06
AT1G02390,0.00080849807
AT1G02400,0.00057856913
AT1G02405,0.00021197632
AT1G02410,0.00059501623
AT1G02420,0.00012932345
AT1G02430,0.00012083932
AT1G02440,0.0010566503
AT1G02450,7.1136776e-05
AT1G02460,0.0010157359
AT1G02470,0.0013709287
AT1G02475,0.000471955
AT1G02500,0.0030959672
AT1G02510,0.00018264171
AT1G02520,0.00039436112
AT1G02530,0.00033806608
AT1G02560,0.0017198843
AT1G02570,2.5274348e-05
AT1G02575,0.00088413234
AT1G02580,0.0005796215
AT1G02610,2.8668583e-05
AT1G02620,0.0003040891
AT1G02630,0.00094292616
AT1G02640,7.335637e-05
AT1G02650,0.0005506336
AT1G02660,0.0012604211
AT1G02670,0.0018867311
AT1G02680,0.0006902567
AT1G02681,0.0013170536
AT1G02690,0.00030213755
AT1G02700,0.00017998074
AT1G02710,0.0010731497
AT1G02720,0.00011800698
AT1G02730,4.2867236e-05
AT1G02740,0.00021050467
AT1G02750,0.0003114185
AT1G02770,6.0331367e-06
AT1G02780,0.0005759627
AT1G02800,0.00019387889
AT1G02810,0.00036643713
AT1G02813,0.0005277565
AT1G02816,0.0005854205
AT1G02820,0.0012520433
AT1G02830,0.0010075531
AT1G02840,0.00022429835
AT1G02850,0.00089692534
AT1G02860,0.00047395533
AT1G02870,0.0014567262
AT1G02880,0.0011966187
AT1G02890,0.00035022077
AT1G02900,0.0015473193
AT1G02910,0.00026488403
AT1G02920,0.0042253593
AT1G02930,0.0060386136
AT1G02940,0.0024844431
AT1G02950,0.0053218235
AT1G02952,0.027960448
AT1G02960,0.0006798508
AT1G02970,0.00074294116
AT1G02980,0.000758475
AT1G02990,0.0005914892
AT1G03000,0.00026784232
AT1G03010,0.001109867
AT1G03020,2.6810332e-05
AT1G03030,0.0017919
AT1G03040,0.00035309163
AT1G03050,3.8041035e-06
AT1G03055,0.0004290026
AT1G03060,0.00083226786
AT1G03070,8.612819e-05
AT1G03080,0.00091532996
AT1G03090,0.0013459831
AT1G03100,0.00041825412
AT1G03103,0.00013609328
AT1G03106,0.00051990105
AT1G03110,0.00056813227
AT1G03120,0.00045007258
AT1G03130,0.000641539
AT1G03140,0.0005748862
AT1G03150,0.0007264883
AT1G03160,0.0009080059
AT1G03170,0.00014220981
AT1G03180,0.0006968922
AT1G03190,0.00021302397
AT1G03200,0.0007004421
AT1G03210,0.003764462
AT1G03220,0.0012038867
AT1G03230,0.0022744122
AT1G03240,0.004293847
AT1G03250,0.0023759436
AT1G03260,0.0018523682
AT1G03270,8.766726e-05
AT1G03280,0.00032730182
AT1G03290,0.00026758204
AT1G03300,0.00032862253
AT1G03310,0.00039752477
AT1G03320,0.0017528285
AT1G03330,0.00021843452
AT1G03340,0.0022845287
AT1G03350,0.0015997792
AT1G03360,0.0010132338
AT1G03365,0.0013609851
AT1G03370,0.00040421734
AT1G03380,0.0004519387
AT1G03390,0.0048141032
AT1G03400,0.0020432498
AT1G03410,0.00023456721
AT1G03420,0.00074013526
AT1G03430,0.0012608713
AT1G03440,0.0004489646
AT1G03445,0.00030780974
AT1G03457,0.0006709324
AT1G03470,8.394715e-05
AT1G03475,0.0011575384
AT1G03495,0.0023883888
AT1G03510,0.0008295999
AT1G03520,0.0014807585
AT1G03530,0.00011731993
AT1G03540,3.480038e-05
AT1G03545,0.0006682586
AT1G03550,0.00079356553
AT1G03560,0.0007501016
AT1G03580,0.0006566882
AT1G03590,0.00095160457
AT1G03600,0.00033429282
AT1G03610,0.00017879478
AT1G03620,0.0002074992
AT1G03630,0.00031485665
AT1G03650,0.0009391331
AT1G03660,0.00038946702
AT1G03670,0.0008922822
AT1G03680,0.00021665246
AT1G03687,0.00046258836
AT1G03700,0.0007296291
AT1G03710,0.00057299744
AT1G03730,0.00069896947
AT1G03740,0.0015444482
AT1G03746,0.0017877261
AT1G03750,0.0017912332
AT1G03760,0.00026800146
AT1G03770,0.00036260407
AT1G03780,0.0012641018
AT1G03790,0.00044550555
AT1G03800,0.00020765777
AT1G03820,0.00053316
AT1G03830,0.0009963355
AT1G03840,0.0006322823
AT1G03850,0.00021291223
AT1G03860,0.0019487928
AT1G03870,0.00079405203
AT1G03900,0.0005109943
AT1G03905,0.00011531268
AT1G03910,0.0002735856
AT1G03920,0.00016119123
AT1G03930,0.00021200895
AT1G03935,0.0022464136
AT1G03940,0.00033024268
AT1G03950,0.0010892854
AT1G03960,0.000105882296
AT1G03970,0.00058723957
AT1G03980,0.0038699335
AT1G03990,0.00013967615
AT1G04000,0.000100062694
AT1G04010,0.0012418027
AT1G04020,0.00090878346
AT1G04030,0.0020502321
AT1G04040,0.0009790114
AT1G04050,0.00013287147
AT1G04070,0.00018455397
AT1G04080,0.00074723136
AT1G04090,0.0011790677
AT1G04100,0.00082443334
AT1G04110,0.000907912
AT1G04120,0.003085683
AT1G04130,0.00060364587
AT1G04140,0.0002968211
AT1G04160,0.00054664095
AT1G04170,0.0022212577
AT1G04180,0.0018668011
AT1G04190,0.00015473574
AT1G04200,0.0024082575
AT1G04210,0.0003335079
AT1G04220,0.00028401287
AT1G04230,0.00013130931
AT1G04240,0.00068450486
AT1G04250,0.0010525333
AT1G04260,0.0015715255
AT1G04270,0.0004319348
AT1G04280,0.00085126923
AT1G04290,0.0010710651
AT1G04295,0.0014875188
AT1G04300,0.0013815747
AT1G04310,0.0007938574
AT1G04330,0.0009887117
AT1G04340,0.0015641763
AT1G04350,0.002072534
AT1G04360,0.00039489171
AT1G04370,0.0002585978
AT1G04380,0.00097575434
AT1G04390,0.00088193547
AT1G04400,0.0007560723
AT1G04410,0.0008248172
AT1G04420,0.0003553491
AT1G04425,0.0004941372
AT1G04430,0.0013793673
AT1G04440,0.004298149
AT1G04445,0.0004322924
AT1G04450,0.00016592491
AT1G04457,0.00025054935
AT1G04470,0.0009830454
AT1G04480,0.0009528465
AT1G04490,2.287416e-05
AT1G04500,0.0020778836
AT1G04510,2.3386034e-05
AT1G04520,4.257422e-05
AT1G04530,0.0008473383
AT1G04540,0.0009752323
AT1G04550,0.0015101888
AT1G04555,0.0007772216
AT1G04560,0.00020931177
AT1G04570,0.0004934805
AT1G04580,0.00026217778
AT1G04590,0.0021036996
AT1G04600,0.0013152427
AT1G04610,0.001942753
AT1G04620,0.00047960583
AT1G04625,0.0004237761
AT1G04630,0.00017451396
AT1G04635,0.00064836105
AT1G04640,0.00058401615
