gene_ID,C_0,C_15,C_30,C_60,S_0,S_15,S_30,S_60,WT_0,WT_15,WT_30,WT_60,log2fc_C_0_WT_0,log2fc_C_15_WT_15,log2fc_C_30_WT_30,log2fc_C_60_WT_60,log2fc_S_0_WT_0,log2fc_S_15_WT_15,log2fc_S_30_WT_30,log2fc_S_60_WT_60,qC_0_WT_0,qC_15_WT_15,qC_30_WT_30,qC_60_WT_60,qS_0_WT_0,qS_15_WT_15,qS_30_WT_30,qS_60_WT_60,cluster
AT2G39030,29.7848,71.8947,96.874,169.657,100.812,26.8215,52.6814,152.952,28.4837,88.3029,34.8825,255.23,-0.0644412,0.296575,-1.47361,0.589182,-1.82346,1.71907,-0.59479,0.738717,0.999842,0.999842,0.0146178,0.779458,0.00225554,0.00587253,0.617882,0.542702,2
AT2G39110,4.92419,0.291377,0.424239,0.731489,0.588059,0.518964,2.54182,1.93266,0.664515,0.366953,0.594324,0.769052,-2.88951,0.332711,0.486371,0.0722449,0.176342,-0.50004,-2.09654,-1.32944,0.00225554,0.999842,0.999842,0.999842,0.999842,0.999842,0.0277452,0.299584,2
AT2G39400,3.55528,10.2685,13.8178,17.2575,1.08998,8.97407,12.768,26.658,3.33464,20.3528,25.1772,50.2054,-0.0924303,0.987008,0.865585,1.54062,1.61323,1.18139,0.979584,0.913277,0.999842,0.115603,0.283071,0.00225554,0.0653304,0.0458466,0.174723,0.127201,2
AT2G40740,0.119996,0.138116,0.296476,1.51189,0.0676395,0.181775,0.370656,1.31588,0.230089,0.65673,0.673098,5.32182,0.939205,2.24942,1.1829,1.81556,1.76626,1.85315,0.860736,2.01589,1,0.346057,0.999842,0.0782252,1,0.915543,0.999842,0.0243883,2
AT2G41540,1.74299,1.26832,1.52592,1.55175,1.65998,1.36756,1.51752,1.93366,1.59942,1.52869,1.35242,3.9193,-0.124017,0.269369,-0.174134,1.3367,-0.0536183,0.16069,-0.166166,1.01926,0.999842,0.999842,0.999842,0.0486053,0.999842,0.999842,0.999842,0.2228,2
AT2G41730,37.368,14.1969,16.2261,11.377,7.18228,11.8597,26.6135,14.3591,11.5395,14.8877,13.554,17.2921,-1.69522,0.0685383,-0.259592,0.603988,0.684072,0.328049,-0.973438,0.268143,0.0299199,0.999842,0.999842,0.897314,0.921819,0.999842,0.249058,0.999842,2
AT2G43510,91.062,97.1561,80.2153,179.437,281.089,66.7054,110.19,89.2675,236.423,115.003,164.367,382.995,1.37645,0.243295,1.03497,1.09385,-0.249653,0.785796,0.576936,2.10112,0.0805217,0.999842,0.205762,0.278081,0.999842,0.32085,0.854423,0.00225554,2
AT2G43820,55.7719,19.8912,30.5136,42.3357,65.5452,30.868,56.149,63.1698,50.7456,56.9436,27.957,120.082,-0.136256,1.51741,-0.126242,1.50407,-0.369206,0.883423,-1.00605,0.926708,0.999842,0.00587253,0.999842,0.0439841,0.999842,0.29101,0.0990192,0.381345,2
AT2G47190,0.771094,0.65808,0.929831,1.75106,1.28619,0.467447,1.39218,1.77454,2.10983,0.987165,1.91442,6.32436,1.45215,0.585028,1.04186,1.85269,0.714025,1.07849,0.459561,1.83347,0.308723,0.999842,0.609555,0.0146178,0.999842,0.85452,0.999842,0.0196585,2
AT2G47240,2.03955,1.86881,3.06478,3.50045,1.63658,1.87336,2.27104,4.92423,3.53153,2.53369,3.4037,13.2337,0.792038,0.439118,0.151319,1.91861,1.10961,0.435607,0.583751,1.42625,0.379669,0.999842,0.999842,0.00225554,0.0850726,0.999842,0.756563,0.00225554,2
AT2G47770,3.90635,2.67675,1.23635,2.3919,8.53446,2.6136,16.187,8.46155,8.79706,1.99004,4.62543,25.8821,1.1712,-0.427683,1.9035,3.43572,0.0437207,-0.393241,-1.80717,1.61296,0.329425,0.999842,0.0835581,0.00225554,0.999842,0.999842,0.00415009,0.093231,2
AT2G01610,2.77666,4.2496,3.65052,2.24921,3.34134,3.65231,3.43834,3.06389,2.39473,2.18666,2.10849,7.50467,-0.213486,-0.958599,-0.791891,1.73837,-0.480564,-0.740078,-0.705501,1.29243,0.999842,0.608469,0.740817,0.0361308,0.999842,0.892239,0.882155,0.192441,2
AT2G01890,3.42879,4.38481,2.01112,3.08196,6.01145,3.33737,7.25414,2.42338,14.1419,2.81656,10.2315,10.982,2.0442,-0.638578,2.34695,1.83323,1.23419,-0.244775,0.496138,2.18005,0.00225554,0.886778,0.00225554,0.00415009,0.111548,0.999842,0.999842,0.00225554,2
AT2G02710,21.5352,11.8974,15.0497,16.9661,22.5027,15.4552,19.3262,22.0149,32.6413,21.9064,25.3711,52.4158,0.600004,0.880699,0.75345,1.62735,0.536602,0.503261,0.39263,1.25152,0.752771,0.220482,0.399983,0.0118963,0.934413,0.858645,0.999842,0.0751204,2
AT2G05910,0.805322,0.89381,0.646945,1.13883,0.749178,0.564532,1.14814,0.443554,1.27922,0.792707,1.06519,2.80026,0.66763,-0.173181,0.719399,1.298,0.771888,0.489733,-0.108182,2.65838,0.999842,0.999842,0.999842,0.464688,0.999842,0.999842,0.999842,0.0430158,2
AT2G14610,12.8114,11.2739,0.859263,35.985,58.6097,10.4839,13.8504,19.669,35.399,0.216573,12.0991,53.8513,1.46627,-5.70198,3.81566,0.581584,-0.727431,-5.59718,-0.195033,1.45306,0.0132684,0.0458466,0.00225554,0.962235,0.459276,0.0458466,0.999842,0.0430158,2
AT2G15780,0.146467,0.447029,0.0488254,0.201907,0.151502,0,0.321748,0.0333391,1.69979,0.0176264,0.305615,4.52681,3.53671,-4.66456,2.64601,4.48673,3.48794,65535,-0.0742156,7.08513,0.0990192,0.953747,1,0.0486053,0.258441,1,1,0.758057,2
AT2G16660,25.7619,31.2142,34.3364,46.9846,26.473,16.4583,18.5351,26.1188,39.5377,42.2503,45.3803,91.2296,0.617988,0.436757,0.402328,0.957315,0.578704,1.36015,1.29181,1.80441,0.427321,0.972303,0.982495,0.159017,0.511023,0.00225554,0.00225554,0.00225554,2
AT2G18193,3.2966,0.568295,0.663371,0.826075,0.838312,0.743764,1.60729,1.76832,0.448938,0.733501,0.428792,0.85665,-2.87639,0.36816,-0.629538,0.052433,-0.90097,-0.020047,-1.90628,-1.0456,0.00225554,0.999842,0.999842,0.999842,0.780649,0.999842,0.0381382,0.433153,2
AT2G19900,0.722401,1.26627,0.0786949,0.999028,2.959,0.747954,5.66238,0.437915,3.64219,0.0513837,2.62252,3.48663,2.33393,-4.62313,5.05854,1.80324,0.299694,-3.86357,-1.11045,2.99311,0.00901084,0.0789703,0.0118963,0.0888337,0.999842,0.104061,0.418769,0.00748685,2
AT2G22470,175.521,57.2386,13.1174,81.4941,120.482,20.9869,225.096,71.931,137.128,38.5365,89.2527,137.058,-0.356121,-0.570762,2.76641,0.750017,0.1867,0.876737,-1.33457,0.930098,0.999842,0.997369,0.00225554,0.756934,0.999842,0.305573,0.14316,0.493666,2
AT2G22510,0.0547651,0.0626758,0.0105845,0,0,0,0.0917545,0,1.1238,0,0.0911507,0.829223,4.35899,65535,3.1063,65535,65535,0,-0.00952616,65535,0.641754,1,1,0.00225554,0.00225554,1,1,0.00225554,2
AT2G23170,6.51663,0.724994,1.22244,2.7746,4.31366,4.16891,3.71312,9.38279,1.91705,0.924998,1.11065,4.14106,-1.76524,0.351481,-0.138357,0.577719,-1.17003,-2.17215,-1.74122,-1.18002,0.00415009,0.999842,0.999842,0.783868,0.200867,0.00415009,0.0146178,0.132183,2
AT2G23790,9.31054,6.72066,8.19388,7.94536,8.95202,5.93786,8.87774,10.224,10.0514,5.41055,9.37792,21.3718,0.110466,-0.312828,0.194721,1.42752,0.167118,-0.134169,0.0790754,1.06375,0.999842,0.999842,0.999842,0.0330747,0.999842,0.999842,0.999842,0.193509,2
AT2G24850,6.04648,2.30874,17.2454,47.9018,22.0335,5.89836,3.49951,55.85,21.7784,6.03522,13.1278,107.979,1.84873,1.3863,-0.393582,1.17259,-0.0167991,0.0330909,1.9074,0.951119,0.0104867,0.0661732,0.999842,0.00225554,0.999842,0.999842,0.00415009,0.0522654,2
AT2G25460,2.10105,1.99989,1.7158,3.11842,0.653857,2.38829,3.09989,3.61299,2.86738,4.27601,2.51895,7.75202,0.448618,1.09634,0.553944,1.31376,2.13269,0.840285,-0.299393,1.10138,0.999842,0.230973,0.999842,0.028818,0.0644722,0.474704,0.999842,0.0820379,2
AT2G26560,1.60267,1.57227,5.50026,24.032,0.773601,1.70271,4.81474,26.7451,4.32118,4.49543,15.7758,97.8527,1.43095,1.51561,1.52014,2.02565,2.48176,1.40063,1.71218,1.87134,0.0997117,0.108806,0.0567395,0.00225554,0.0118963,0.122715,0.015928,0.00225554,2
AT2G27660,0.739434,0.40691,1.04207,3.61487,1.07869,0.695635,1.34378,4.35463,1.76103,0.890437,3.16983,7.62974,1.25192,1.1298,1.60496,1.07769,0.707136,0.356183,1.23811,0.809085,0.302,0.509163,0.0351302,0.0782252,0.813554,0.999842,0.160184,0.376311,2
AT2G28110,1.56183,1.08477,0.751909,1.62453,2.1101,0.808734,1.55467,1.52296,3.77453,1.14996,2.3983,6.00681,1.27306,0.0841909,1.67338,1.88657,0.838986,0.507842,0.625405,1.97972,0.170889,0.999842,0.0910546,0.015928,0.721682,0.999842,0.999157,0.00415009,2
AT2G28400,11.1957,20.4018,6.76808,22.2819,13.8687,13.5836,21.9249,25.6154,31.1007,20.1427,19.6967,48.2028,1.474,-0.0184463,1.54113,1.11325,1.16512,0.568384,-0.154616,0.912106,0.0371458,0.999842,0.0381382,0.157225,0.224301,0.758798,0.999842,0.336047,2
AT2G29100,0.0208371,0.0820162,0.104213,0.269114,0.00211963,0.0428276,0.063591,0.499191,0.0577947,0.0506587,0.154136,2.04771,1.47178,-0.695099,0.564662,2.92773,4.76905,0.24227,1.27731,2.03635,1,1,1,0.00225554,1,1,1,0.0196585,2
AT2G29110,0.0698305,0.262824,0.159251,0.8147,0.0880399,0.198057,0.242958,0.994618,0.146461,0.757365,0.651848,3.26293,1.06859,1.52689,2.03323,2.00183,0.734285,1.93508,1.42383,1.71396,1,0.218089,0.0531779,0.00225554,1,0.0759189,0.232836,0.0196585,2
AT2G29120,7.75476,5.20202,6.81108,11.7068,8.40581,6.97507,7.67115,10.6386,13.9182,8.75442,15.7789,25.5816,0.843818,0.750942,1.21204,1.12776,0.727513,0.327805,1.04048,1.26579,0.134684,0.309136,0.0208548,0.00587253,0.29101,0.999842,0.0467763,0.00225554,2
AT2G29460,35.6124,7.25853,23.1083,33.0766,32.0058,23.9332,22.5923,38.569,23.3223,22.4543,14.1067,71.3633,-0.610671,1.62924,-0.712032,1.10937,-0.456626,-0.0920231,-0.679448,0.88774,0.640303,0.00415009,0.423365,0.0558756,0.977807,0.999842,0.456246,0.282258,2
AT2G29470,21.2749,0.542117,0.503741,1.47596,3.33835,1.18401,15.2346,12.058,10.0791,0.914654,5.93806,4.62118,-1.07778,0.754622,3.55924,1.64661,1.59416,-0.372379,-1.35929,-1.38365,0.295493,0.999842,0.0146178,0.131558,0.110873,0.999842,0.211685,0.198768,2
AT2G30750,0.883075,0.52659,0.503068,6.11696,1.48764,0.799028,1.14004,8.93775,6.46227,0.151625,0.87907,12.4855,2.87143,-1.79617,0.805225,1.02937,2.11901,-2.39774,-0.375034,0.482269,0.00225554,0.422368,0.970966,0.171403,0.00901084,0.116902,0.999842,0.999842,2
AT2G30770,1.79598,0.273963,0.350706,3.56114,3.94822,1.57901,1.12906,3.19064,7.49502,0.612269,1.05787,11.1154,2.06116,1.16019,1.59283,1.64215,0.924731,-1.36678,-0.0939572,1.80064,0.00225554,0.813306,0.251334,0.00225554,0.600154,0.460412,0.999842,0.0104867,2
AT2G32680,3.41544,1.2145,2.50607,7.25212,5.86678,2.01616,3.28531,6.80955,7.5244,3.93849,8.74763,37.0191,1.13951,1.69728,1.80346,2.3518,0.359009,0.966037,1.41286,2.44264,0.0458466,0.0132684,0.00225554,0.00225554,0.999842,0.366288,0.00901084,0.00225554,2
AT2G33380,206.976,241.315,189.151,221.99,328.096,150.432,275.106,273.502,409.484,339.372,353.152,854.674,0.984343,0.49195,0.90075,1.94488,0.319691,1.17376,0.360302,1.64382,0.146158,0.835095,0.127806,0.0104867,0.999842,0.0132684,0.999842,0.0320121,2
AT2G34500,8.29258,0.620356,0.530968,1.4361,1.74835,0.441261,7.3603,3.71269,4.37858,1.54275,2.27754,5.38259,-0.921358,1.31433,2.10078,1.90614,1.32447,1.8058,-1.69229,0.535834,0.606151,0.464437,0.0410864,0.00225554,0.238457,0.146158,0.0299199,0.999842,2
AT2G36640,3.96608,0.109499,0.220989,0.1741,0.402482,0.256613,1.18526,0.6666,0.143417,0.235245,0.153792,1.72342,-4.78942,1.10325,-0.522997,3.30728,-1.4887,-0.125433,-2.94615,1.37038,0.00225554,1,1,0.00415009,0.598957,1,0.0184341,0.429769,2
AT2G36770,4.02592,2.08568,2.34939,3.43991,3.08783,2.08466,5.46656,5.46494,2.64754,1.55193,2.78841,9.27446,-0.604668,-0.426453,0.247154,1.43089,-0.221943,-0.425746,-0.971192,0.763057,0.999842,0.999842,0.999842,0.0104867,0.999842,0.999842,0.423365,0.462685,2
AT2G36780,10.5041,1.38076,2.61798,2.29338,14.6313,3.09824,18.2792,8.68794,19.5769,14.5729,7.94962,42.3778,0.898197,3.39976,1.60243,4.20776,0.420099,2.23377,-1.20124,2.28622,0.657957,0.00225554,0.0486053,0.00225554,0.999842,0.00225554,0.167014,0.00225554,2
AT2G38240,15.0892,7.7791,16.9764,55.6212,25.9545,8.06344,25.3294,52.5815,24.0064,24.3081,13.5749,123.29,0.669904,1.64376,-0.322586,1.14835,-0.112564,1.59197,-0.899872,1.22943,0.529743,0.00587253,0.999842,0.194583,0.999842,0.042046,0.203767,0.151467,2
AT2G40170,2.04237,1.75342,0.543523,0.854001,0.351136,0.514063,3.78722,0.800068,5.73294,0.173399,2.64088,7.98881,1.48903,-3.33801,2.2806,3.22567,4.02917,-1.56785,-0.520119,3.31979,0.363381,0.369352,0.174155,0.00901084,0.0381382,0.999842,0.999842,0.0104867,2
AT2G40340,4.20187,0.271418,0.704048,0.940198,1.08207,0.42584,2.31946,1.82763,1.67772,0.840218,1.08692,4.53647,-1.32453,1.63025,0.626494,2.27053,0.632708,0.980451,-1.09355,1.31159,0.346057,0.443393,0.999842,0.00225554,0.999842,0.889915,0.493666,0.266759,2
AT2G40750,2.41759,0.966788,0.597123,3.55765,5.01035,1.59695,0.871433,2.54924,7.53859,1.15252,1.47225,11.4836,1.64073,0.253525,1.30193,1.69058,0.589384,-0.470522,0.756566,2.17143,0.0104867,0.999842,0.336761,0.00415009,0.881414,0.999842,0.876538,0.00225554,2
AT2G41190,3.92777,6.09066,2.53289,1.95501,5.00301,7.45522,13.0305,4.14028,11.8738,4.49147,5.61133,22.2254,1.596,-0.43941,1.14756,3.50696,1.24692,-0.731061,-1.21547,2.42441,0.00587253,0.999842,0.0467763,0.00225554,0.0540901,0.519608,0.0146178,0.00225554,2
AT2G42560,1.16303,0.0246505,0.030185,0.0719314,1.61462,0.0784109,11.0478,0.750239,1.66343,0.0410286,1.16416,39.8105,0.516276,0.735015,5.26932,9.11231,0.0429662,-0.934425,-3.2464,5.72965,0.999842,1,0.0726837,0.00225554,0.999842,1,0.00225554,0.00225554,2
AT2G45220,2.509,3.25576,0.728217,2.57835,2.01337,1.09704,3.39611,0.946426,10.3182,0.983408,8.18807,12.4817,2.04001,-1.72713,3.49108,2.27529,2.35751,-0.157756,1.26964,3.72118,0.00225554,0.0917893,0.00225554,0.00225554,0.00225554,0.999842,0.283493,0.00225554,2
AT2G45570,18.7291,6.02373,2.02018,6.38032,19.6653,7.34642,31.8339,15.342,30.7221,3.78449,17.1994,48.8644,0.713995,-0.670559,3.0898,2.93708,0.643628,-0.956944,-0.888207,1.6713,0.767071,0.897659,0.00225554,0.00225554,0.96234,0.314106,0.511522,0.0782252,2
AT2G46680,21.7321,12.6147,13.5608,14.2005,30.6865,22.6216,32.5222,25.9577,58.8205,21.6743,29.4792,83.9948,1.43649,0.780882,1.12025,2.56436,0.938717,-0.0617148,-0.141726,1.69414,0.0361308,0.226238,0.0486053,0.00225554,0.294674,0.999842,0.999842,0.0330747,2
AT2G47130,3.98354,2.18029,5.84116,17.1691,7.72503,3.12861,5.85202,17.1749,11.332,2.76149,8.39611,33.026,1.50829,0.340927,0.523464,0.94379,0.552796,-0.180075,0.520786,0.943298,0.0299199,0.999842,0.973554,0.146158,0.912862,0.999842,0.954161,0.105412,2
AT3G02480,113.174,20.823,5.85523,45.2232,95.7498,13.5483,185.859,65.6463,38.6721,7.38892,19.1446,384.853,-1.54918,-1.49474,1.70914,3.08917,-1.30798,-0.874682,-3.2792,2.55152,0.0410864,0.154942,0.0843149,0.00225554,0.160763,0.793602,0.00225554,0.00225554,2
AT3G05630,2.15604,1.66653,1.90974,1.51432,2.43815,2.06173,2.94416,2.11407,3.23498,1.57332,3.19835,5.70925,0.585369,-0.083035,0.743954,1.91463,0.407969,-0.390044,0.119471,1.43328,0.819471,0.999842,0.524167,0.00225554,0.999842,0.999842,0.999842,0.0299199,2
AT3G06490,0.409686,0.0834156,0.137042,0.277004,0.340072,0.0830718,0.873403,0.456931,2.1499,0.393299,0.789908,1.79102,2.39168,2.23724,2.52707,2.6928,2.66036,2.24319,-0.144963,1.97073,0.0341157,0.362296,0.109513,0.0232287,0.0610611,0.356951,0.999842,0.111548,2
AT3G06500,26.8916,11.3199,19.9821,35.1359,23.9263,12.5005,25.3235,43.1541,24.5579,28.5572,27.7286,82.9437,-0.130973,1.335,0.472668,1.23919,0.037586,1.19187,0.130897,0.942633,0.999842,0.00587253,0.805231,0.0309671,0.999842,0.0171885,0.999842,0.157823,2
AT3G07195,0.845749,4.14209,3.79649,9.19098,1.525,3.07237,4.5281,10.3438,2.65521,9.08163,7.00526,22.0201,1.65052,1.13259,0.883773,1.26053,0.800018,1.5636,0.629533,1.09006,0.133423,0.274379,0.383051,0.0309671,0.879954,0.0619243,0.769744,0.140177,2
AT3G11480,2.08524,5.87068,23.1639,18.7347,27.296,1.88328,3.90468,17.533,8.84105,25.7951,12.501,45.1024,2.084,2.1355,-0.889839,1.26749,-1.6264,3.77577,1.67876,1.36313,0.00225554,0.00225554,0.481748,0.0726837,0.0513685,0.00225554,0.0146178,0.0341157,2
AT3G12910,0.0473625,8.29128,12.8664,5.37,0.0358409,7.29331,11.8171,9.62262,0.161697,14.5068,15.2869,27.7898,1.77147,0.807059,0.248684,2.37156,2.17361,0.99208,0.371422,1.53006,1,0.549866,0.999842,0.00225554,1,0.255269,0.999842,0.0118963,2
AT3G13950,5.58967,1.10356,1.19538,8.33666,2.483,2.07424,5.55719,5.88887,6.46142,0.649527,5.50628,13.8278,0.209089,-0.764701,2.20361,0.730034,1.37977,-1.67512,-0.0132774,1.23151,0.999842,0.999842,0.0410864,0.599125,0.155505,0.323434,0.999842,0.0751204,2
AT3G22060,14.6836,14.0396,20.9519,69.1769,18.1493,18.3899,20.4936,94.723,17.9389,26.9744,33.0639,155.647,0.288886,0.942091,0.658174,1.16992,-0.0168211,0.552677,0.690083,0.716492,0.999842,0.0954246,0.399983,0.00587253,0.999842,0.752771,0.341256,0.333381,2
AT3G23920,102.151,95.7064,88.478,80.5664,128.081,101.96,171.465,110.834,146.505,109.025,136.411,225.627,0.520245,0.187966,0.62457,1.48569,0.193889,0.0966437,-0.32995,1.02553,0.750889,0.999842,0.528489,0.0391221,0.999842,0.999842,0.999842,0.274774,2
AT3G26830,9.99314,0.757535,2.00277,22.121,12.1099,10.9844,5.28232,22.6692,9.09247,0.809804,1.89324,39.9518,-0.136265,0.0962611,-0.0811376,0.852847,-0.413442,-3.76174,-1.48031,0.81753,0.999842,0.999842,0.999842,0.207805,0.999842,0.00225554,0.0410864,0.230973,2
AT3G28210,29.9429,6.16268,9.88896,16.762,24.3171,7.85114,39.1917,21.875,31.1874,18.6997,37.4175,49.617,0.058749,1.60138,1.91982,1.56564,0.35899,1.25204,-0.0668377,1.18155,0.999842,0.0146178,0.00748685,0.00225554,0.999842,0.0531779,0.999842,0.0567395,2
AT3G44300,29.0139,64.4887,11.6005,75.7639,129.839,14.9517,89.1489,18.7614,187.403,28.3043,127.541,220.788,2.69133,-1.18802,3.45871,1.54308,0.529416,0.920718,0.516675,3.55682,0.00225554,0.34277,0.00225554,0.0946867,0.999842,0.251802,0.999842,0.00225554,2
AT3G49110,0.783392,0.130817,0.506066,3.35199,0.854398,0.873344,0.600522,2.2632,0.38261,0.22704,1.11535,7.68135,-1.03386,0.795403,1.1401,1.19634,-1.15903,-1.9436,0.893211,1.76299,0.797613,1,0.657049,0.0858357,0.708889,0.387802,0.937241,0.00225554,2
AT3G49120,133.279,134.203,77.4123,244.105,202.58,109.017,176.042,191.314,416.439,130.823,223.132,627.93,1.64366,-0.0367997,1.52727,1.3631,1.03961,0.263056,0.341979,1.71466,0.0104867,0.999842,0.00225554,0.0458466,0.249058,0.999842,0.999842,0.00415009,2
AT3G49620,11.8439,0.119355,0.493739,1.65313,1.34804,0.20723,1.77899,4.89924,0.31253,0.221773,0.136053,4.50329,-5.244,0.893822,-1.85958,1.44578,-2.1088,0.0978566,-3.70882,-0.121577,0.00225554,1,0.528276,0.0910546,0.249058,1,0.0467763,0.999842,2
AT3G50280,0.720167,1.40199,2.33534,2.56689,1.3864,0.618429,0.474688,2.29327,2.02607,2.62902,2.06097,5.22641,1.49228,0.907049,-0.18031,1.0258,0.547342,2.08785,2.11827,1.18842,0.190872,0.687424,0.999842,0.215664,0.999842,0.0686527,0.042046,0.126557,2
AT3G50470,0.344208,0.268339,0.618633,1.08896,0.39282,0.124849,0.427377,1.04814,1.83159,2.21806,4.67893,8.90047,2.41175,3.04717,2.91902,3.03093,2.22116,4.15104,3.4526,3.08605,0.243102,0.110213,0.0255307,0.00225554,0.346057,0.226718,0.0513685,0.00225554,2
AT3G50770,4.53829,2.37458,1.94572,8.44201,3.03789,1.62762,3.67399,4.22976,12.8232,7.4359,6.01073,22.5656,1.49854,1.64683,1.62724,1.41846,2.07762,2.19174,0.710193,2.41548,0.0593278,0.0990192,0.079759,0.00415009,0.00587253,0.028818,0.834439,0.00225554,2
AT3G50970,9.91835,1.408,3.48728,9.86766,29.585,3.00179,16.1428,12.5458,29.2712,4.97469,7.71299,60.3539,1.56131,1.82096,1.14519,2.61267,-0.015383,0.728784,-1.06553,2.26624,0.0299199,0.0895647,0.330627,0.00225554,0.999842,0.950337,0.219535,0.00225554,2
AT3G55890,0.74373,0.960304,0.881299,0.993244,1.27867,0.700466,0.986688,1.02579,3.31693,0.959925,1.9216,5.01452,2.157,-0.000568944,1.1246,2.33589,1.3752,0.454608,0.961638,2.28937,0.152067,0.999842,0.828699,0.0495276,0.632289,0.999842,0.984874,0.0710676,2
AT3G61280,2.95922,1.61448,2.73127,6.05149,6.01719,2.1942,2.46754,5.2139,8.78774,3.17468,8.12547,14.0091,1.57027,0.975542,1.57288,1.211,0.546403,0.532917,1.71938,1.42593,0.00225554,0.406033,0.0146178,0.0132684,0.888893,0.98766,0.00225554,0.00587253,2
"AT3G03460,AT3G03470",19.7126,21.7873,17.6849,23.3825,27.4383,24.0922,34.8686,31.5989,34.1442,19.7852,34.0516,70.2335,0.792524,-0.139065,0.945207,1.58673,0.315449,-0.284146,-0.0342057,1.15228,0.32085,0.999842,0.196151,0.0277452,0.999842,0.999842,0.999842,0.191898,2
AT3G03480,5.0375,8.2442,10.1317,11.2324,6.95332,4.97805,5.19098,8.88976,7.55048,12.5904,12.9398,23.9774,0.583861,0.610877,0.35294,1.09401,0.118867,1.33867,1.31774,1.43146,0.664817,0.658535,0.999842,0.0702626,0.999842,0.0341157,0.00901084,0.00225554,2
AT3G04070,1.30173,0.921677,0.511313,1.85583,3.42775,0.500067,2.72368,1.39428,8.4455,1.0645,3.35606,13.1776,2.69775,0.207839,2.71449,2.82796,1.30092,1.08998,0.301211,3.2405,0.00225554,0.999842,0.00415009,0.00225554,0.24724,0.752533,0.999842,0.00225554,2
AT3G10320,1.17894,0.271648,0.204605,1.02057,2.08471,0.618966,1.20142,0.780846,2.84934,0.324962,1.49779,3.33552,1.27313,0.258532,2.87192,1.70853,0.450782,-0.929587,0.318097,2.0948,0.211685,0.999842,0.0104867,0.0774578,0.999842,0.940615,0.999842,0.00901084,2
AT3G11010,7.96353,3.44082,5.65731,11.5059,11.6739,5.54691,6.96573,11.4817,16.9405,5.50476,10.0155,35.9315,1.089,0.677926,0.824048,1.64287,0.53719,-0.0110045,0.523892,1.64591,0.0196585,0.528957,0.248639,0.00225554,0.737386,0.999842,0.77071,0.00225554,2
AT3G11150,0.172912,0.391169,0.236297,0.350421,0.552944,0.20127,0.408901,0.186166,0.714626,0.328517,0.367621,1.35971,2.04715,-0.251823,0.637618,1.95614,0.370054,0.706837,-0.153533,2.86864,0.331464,0.999842,0.999842,0.147916,0.999842,0.999842,0.999842,0.0341157,2
AT3G13790,4.56966,2.53401,6.60785,21.1869,5.85884,3.12305,4.90443,20.0441,10.6714,8.75521,16.6117,42.2831,1.22359,1.78872,1.32995,0.99691,0.865056,1.48719,1.76005,1.0769,0.00901084,0.00587253,0.00415009,0.042046,0.26888,0.00901084,0.00225554,0.0351302,2
AT3G14060,7.10473,11.1154,4.48903,6.00963,9.11629,6.77203,14.3968,4.55584,9.03305,4.81712,6.62602,19.9538,0.346433,-1.20631,0.561739,1.73131,-0.0132339,-0.491419,-1.11953,2.13087,0.999842,0.409132,0.999842,0.028818,0.999842,0.999842,0.372385,0.00748685,2
AT3G14440,6.84933,6.6337,3.93811,5.3429,4.53598,6.01126,17.3339,8.98257,6.26304,12.3317,4.61595,14.0509,-0.129099,0.894487,0.229124,1.39497,0.465448,1.03663,-1.9089,0.645463,0.999842,0.185537,0.999842,0.0710676,0.999842,0.0694445,0.00225554,0.834952,2
AT3G17520,1.23764,0.437252,0.0826828,0.46098,2.04118,0.848789,13.1993,1.55486,11.6014,0.238018,3.81789,26.162,3.22864,-0.877393,5.52905,5.82663,2.50683,-1.83433,-1.78962,4.07262,0.00225554,0.999842,0.0873508,0.00225554,0.00225554,0.503504,0.0495276,0.00225554,2
AT3G20470,8.61452,12.8368,9.59027,14.7887,9.36349,7.47075,12.7419,14.3814,24.2882,17.0347,21.1791,34.0441,1.49541,0.40819,1.14299,1.20291,1.37514,1.18915,0.733057,1.24321,0.015928,0.999842,0.0627796,0.0702626,0.042046,0.159017,0.489726,0.0540901,2
AT3G22275,1.11042,1.20219,2.93752,5.41416,0.94163,1.24424,0.924599,2.24537,1.39994,4.71667,3.00427,9.53149,0.334264,1.9721,0.0324184,0.815966,0.572132,1.92251,1.70011,2.08575,0.999842,0.130284,0.999842,0.678731,0.999842,0.142577,0.268495,0.00901084,2
AT3G22600,24.4497,6.1194,1.94652,14.6668,21.4614,25.2133,43.2252,19.2842,32.592,1.97487,9.13731,66.4164,0.414701,-1.63163,2.23087,2.17898,0.602773,-3.67436,-2.24203,1.78412,0.999842,0.153177,0.0184341,0.00225554,0.824073,0.00225554,0.00225554,0.0196585,2
AT3G22740,5.77209,6.45286,7.44805,13.8377,6.90263,5.80065,4.63407,9.78253,8.58539,12.692,11.7913,21.037,0.572789,0.975913,0.662783,0.60433,0.314736,1.12964,1.34737,1.10465,0.793946,0.171961,0.477875,0.538467,0.999842,0.104061,0.0184341,0.0391221,2
AT3G22910,25.3161,4.65616,2.86447,7.04615,3.34059,4.55317,18.5864,9.51033,6.73014,7.02776,9.28652,11.3477,-1.91135,0.593926,1.69687,0.687493,1.01053,0.626196,-1.00103,0.254833,0.0208548,0.665003,0.0118963,0.636742,0.238457,0.571472,0.267631,0.999842,2
