gene_ID,C_0,C_15,C_30,C_60,S_0,S_15,S_30,S_60,WT_0,WT_15,WT_30,WT_60,log2fc_C_0_WT_0,log2fc_C_15_WT_15,log2fc_C_30_WT_30,log2fc_C_60_WT_60,log2fc_S_0_WT_0,log2fc_S_15_WT_15,log2fc_S_30_WT_30,log2fc_S_60_WT_60,qC_0_WT_0,qC_15_WT_15,qC_30_WT_30,qC_60_WT_60,qS_0_WT_0,qS_15_WT_15,qS_30_WT_30,qS_60_WT_60,cluster
AT1G02360,0.353815,5.02709,7.34262,15.6743,0.469617,4.11174,5.92253,23.321,1.6137,9.46168,11.6271,32.4068,2.18931,0.912374,0.663124,1.04789,1.78082,1.20235,0.973205,0.474665,0.0983019,0.466866,0.620335,0.0299199,0.186073,0.166435,0.191382,0.892239,2
AT1G02470,1.39112,0.664011,0.710204,0.842521,3.02875,1.99447,1.42779,1.12948,3.46362,0.882288,1.54666,6.57702,1.31604,0.410044,1.12285,2.96465,0.193558,-1.17668,0.115372,2.54178,0.324154,0.999842,0.702567,0.00415009,0.999842,0.648988,0.999842,0.0171885,2
AT1G02660,1.33309,2.87533,1.52069,2.86134,2.02064,2.80245,3.58458,3.27367,2.26539,2.88452,3.01523,7.8572,0.764988,0.00460307,0.987543,1.45732,0.164952,0.0416414,-0.249536,1.2631,0.710437,0.999842,0.278858,0.0196585,0.999842,0.999842,0.999842,0.0686527,2
AT1G05340,46.1421,8.93094,4.50498,15.7177,24.8925,9.22356,54.8321,27.3328,38.5039,6.86119,33.0344,99.4522,-0.261081,-0.380354,2.87438,2.66161,0.62929,-0.426866,-0.731051,1.86337,0.999842,0.999842,0.00225554,0.00225554,0.996308,0.999842,0.692129,0.00415009,2
AT1G06520,0.613145,0.620683,0.46973,0.593203,0.413515,0.670149,0.562127,0.696595,1.2976,0.402429,0.620437,2.64743,1.08155,-0.625124,0.401454,2.15799,1.64983,-0.735748,0.142388,1.9262,0.53353,0.999842,0.999842,0.0118963,0.129702,0.999842,0.999842,0.0243883,2
AT1G07430,2.74462,1.55428,1.57358,1.90708,2.86246,2.01445,5.56253,4.44942,7.52542,1.80823,4.0458,11.6938,1.45516,0.218336,1.36237,2.6163,1.39452,-0.155808,-0.459317,1.39405,0.0636326,0.999842,0.0661732,0.00225554,0.0805217,0.999842,0.999842,0.132797,2
AT1G10585,39.2294,9.86526,29.2165,28.1617,44.7735,17.3826,27.8493,51.2159,31.3572,56.3301,13.8647,94.5724,-0.32314,2.51348,-1.07536,1.74769,-0.513851,1.69626,-1.00622,0.884826,0.999842,0.00225554,0.224759,0.00415009,0.999842,0.00415009,0.12336,0.395914,2
AT1G11925,0.612608,0.28364,0.00645354,0.563017,0.0212468,0,0.906373,0.313578,2.24219,0,1.22735,6.27056,1.87187,65535,7.57124,3.47734,6.72152,0,0.437369,4.3217,0.353292,1,0.457277,0.0330747,0.962733,1,0.999842,0.0104867,2
AT1G13470,1.53351,0.603194,0.729277,2.42534,5.32042,0.964008,0.936293,2.6144,8.76363,1.92991,9.79264,21.6012,2.51469,1.67784,3.74716,3.15485,0.719989,1.00142,3.38667,3.04656,0.00225554,0.372732,0.00225554,0.00225554,0.716321,0.778706,0.00225554,0.00225554,2
AT1G13650,49.5144,40.9933,32.3351,35.4497,41.8138,39.8034,33.8094,52.5745,59.0723,48.418,44.2869,81.3654,0.254633,0.240156,0.45378,1.19864,0.498504,0.282653,0.389457,0.630052,0.999842,0.999842,0.88239,0.00415009,0.699576,0.999842,0.990009,0.480163,2
