gene_ID,WT_0,WT_15,WT_30,WT_60,log2fc_WT_0_WT_15,log2fc_WT_0_WT_30,log2fc_WT_0_WT_60,log2fc_WT_15_WT_30,log2fc_WT_15_WT_60,log2fc_WT_30_WT_60,qWT_0_WT_15,qWT_0_WT_30,qWT_0_WT_60,qWT_15_WT_30,qWT_15_WT_60,qWT_30_WT_60,cluster
AT2G27150,10.5087,7.69536,9.45433,17.1829,-0.44952,-0.152533,0.709395,0.296987,1.15891,0.861928,0.915045,0.999842,0.31493,0.999842,0.00748685,0.0881169,1
AT2G27389,9.64985,1.04684,6.06907,6.12037,-3.20446,-0.669031,-0.656887,2.53543,2.54757,0.0121441,0.00225554,0.999842,0.999842,0.461048,0.827987,0.999842,11
AT2G27690,1.66584,3.04214,1.60609,6.48676,0.868836,-0.0527014,1.96124,-0.921537,1.09241,2.01395,0.566079,0.999842,0.00225554,0.462984,0.12592,0.00225554,1
AT2G27830,5.75938,9.63045,4.25999,11.714,0.741689,-0.435064,1.02425,-1.17675,0.282559,1.45931,0.628547,0.999842,0.270162,0.151467,0.999842,0.0320121,6
AT2G28120,1.09392,1.16366,1.09133,3.34605,0.0891642,-0.00341881,1.61295,-0.092583,1.52379,1.61637,0.999842,0.999842,0.028818,0.999842,0.0939512,0.0320121,1
AT2G28150,8.87094,8.20922,6.39616,4.31754,-0.111841,-0.471882,-1.03888,-0.360041,-0.927036,-0.566996,0.999842,0.791309,0.0486053,0.999842,0.146731,0.652517,2
AT2G28570,1.59874,1.93503,3.30841,7.39923,0.275415,1.0492,2.21044,0.773784,1.93502,1.16124,0.999842,0.447871,0.00225554,0.848515,0.0196585,0.165329,1
AT2G28840,29.1885,26.7371,44.3773,109.001,-0.126557,0.604423,1.90086,0.730981,2.02742,1.29644,0.999842,0.474968,0.00225554,0.339365,0.00225554,0.00225554,1
AT2G29340,84.2735,95.3024,103.518,172.232,0.177433,0.296725,1.0312,0.119292,0.853771,0.734479,0.999842,0.999842,0.0146178,0.999842,0.14316,0.205762,1
AT2G29350,246.722,78.5834,144.157,430.751,-1.65059,-0.775243,0.803969,0.875345,2.45456,1.57921,0.0710676,0.875959,0.818602,0.637162,0.00225554,0.100458,1
AT2G29370,16.7308,18.8825,25.1913,10.0491,0.17454,0.590414,-0.735447,0.415874,-0.909988,-1.32586,0.999842,0.671738,0.552109,0.999842,0.337153,0.028818,5
AT2G29510,17.486,26.5051,17.0899,12.2721,0.600071,-0.0330549,-0.510819,-0.633126,-1.11089,-0.477764,0.486543,0.999842,0.610691,0.405331,0.0184341,0.687552,9
AT2G29750,0.198474,0.0866635,0.162047,0.960292,-1.19546,-0.292541,2.27452,0.902914,3.46998,2.56706,1,1,0.0567395,1,0.0873508,0.0449349,1
